Product name,Reviews,Reviews_title
Lonehand Whiskey 1.75l,If you close your eyes you would swear it’s Jack.,Great Value
Lonehand Whiskey 1.75l,But it's down there. Very harsh.,Not The Worst?
Lonehand Whiskey 1.75l,The salesman thought I should try it based on other things in my cart. It was ok and a decent price,No Too Shabby!
Lonehand Whiskey 1.75l,,My New Favorite!!
Lonehand Whiskey 1.75l,Priced fairly for what it is. I'll be buying it again.,Good Everyday Whiskey
Lonehand Whiskey 1.75l,Excellent flavor with slight charcoal finish. Very good introduction to Lincoln process,Good Name. Unique
Lonehand Whiskey 1.75l,"I’m just starting to get into whiskey and this one was suggested to me in store. For the price point it is a really good whiskey I enjoyed a lot. As I’m learning what I like, I’m not sure if Tennessee whiskey’s are my favorite, but this was smooth and good.",Good For This Beginner
Lonehand Whiskey 1.75l,Nose is of burnt cardboard and wet wipes. Not a great whiskey for drinking straight or with ice. Only using the bottle for mixing with coke or ginger beer and will not be buying again. No clue why this was recommended or the reviews here recommend it…,Not Drinkable By Itself
Lonehand Whiskey 1.75l,Less expensive than Jack Daniels. It’s a good Sourmash whiskey. I have not tried it straight but mix it with diet Coke. Cannot tell the difference between it and Jack Daniels when mixed with a Diet Coke. Like shopping at total Wine and more. They have a great selection.,Taste Like Jack
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,Wife's favorite.,Because She Said So!
Lonehand Whiskey 1.75l,A surprising great flavors and smooth finish while enjoying over rocks. Also enjoyed mixed heavy with ginger ale.,Nice Aroma From Bottle And Smooth Clean Finsih
Lonehand Whiskey 1.75l,"This whiskey takes some getting used to, especially if you usually drinks Kentucky. It has quite a bit of maple overtone on the nose that carries to the palate, so the first few sips makes you feel like you are drinking something entirely different. But it settles down to a decent whiskey. Medium body, not very dense but pleasant. Not a sipping whiskey. I like it with a single small cube of ice. More than that and the flavor loses focus. Great for the price though.",A Good Whiskey That Takes Some Getting Used To
Lonehand Whiskey 1.75l,"I am Jack customer , however, have gravitated th Lonehand because it is a similar taste but smoother.",Smooth
Lonehand Whiskey 1.75l,For price is a good deal!,Good And Smooth
Lonehand Whiskey 1.75l,No far off from a JD taste. Very good,Buy This Whiskey
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,Bought this a few weeks ago and was pleasantly surprised.,Very Smooth
Lonehand Whiskey 1.75l,I bought this recently and we extremely pleased with the taste for the price.,Easy To Drink
Lonehand Whiskey 1.75l,I bought both Lonehand Whiskey and Borrasca Sparkling Wine two weeks ago for a party at the recommendation of an employee but decided not to serve them to my guests due to their aftertastes.,Lonehand Whiskey And Borrasca Review
Lonehand Whiskey 1.75l,I like Jack better,Just OK
Lonehand Whiskey 1.75l,This was a smooth experience,Great Taste
Lonehand Whiskey 1.75l,,2 Ratings-Only Reviews
Lonehand Whiskey 1.75l,,1 Review In Another Language
Lonehand Whiskey 1.75l,,Taste Just Like Jack!
Lonehand Whiskey 1.75l,"A sales person pointed me to this. It is a cheaper whiskey but had very little bite. I like wine as well as bourbon but my wine palette does not like harsh bourbon/whiskey/scotch. What I found amazing is after it was opened and I would sip a little closing the shop, as it sat, it picked up more flavor. Initially it was much less flavorful. It aged a bit like wine as it sat in the bottle.",Smooth And Gains Flavor As It Breathes
Lonehand Whiskey 1.75l,The longer it sits in a glass the better it taste!,Sipping Whiskey
Lonehand Whiskey 1.75l,"This is absolutely the smoothest sour mash ever. My only issue with Lone Hand is I have a tendency to drink too much due to the smoothness. I believe the secret is the aging in the Maple. Nonetheless, I love this whiskey and rate it better than Jack Daniels.",Gotta Love This Incredible Whiskey!!!
Lonehand Whiskey 1.75l,,Good Taste
Lonehand Whiskey 1.75l,Figured I’d try this based on price. A little light for my taste but mixes well with coke,Not Bad
Lonehand Whiskey 1.75l,Enjoy with coke and ice. A mild bourbon that is mellow and goes down easy. Try it.,Great For The Price.
Lonehand Whiskey 1.75l,It’s ok in lemonade. I would not recommend it other than for that,Meh
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,Good,Good
Lonehand Whiskey 1.75l,Husband tried a nip of this and found that he liked it.....it has even replaced his old favorite Gentlemen Jack.,A Surprise!
Lonehand Whiskey 1.75l,I wasn’t expecting much from this cheap Tennessee whiskey basically bought it for a party for whiskey and Coke. Did the job at a decent price. Don’t come here for the flavor.,Cheap TN Whiskey
Lonehand Whiskey 1.75l,Picked this up for price! Was pleasantly surprised at the taste. Did not have the JD Black burn I have come to enjoy but was still tasty. Just a bit sweet but something that can be gotten used to! Over all I am happy I purchased this product!,Pretty Smooth
Lonehand Whiskey 1.75l,This is a good bourbon either sipped or mixed,Delicious And A Bargain
Lonehand Whiskey 1.75l,"Taste nasty to me.Not even close to what they are trying to copy!! As you can see,my next purchase was not Lonehand.",Yuck!!
Lonehand Whiskey 1.75l,It kind of has a vinegar undertone in my opinion. I don’t mind it though and I would probably buy it again.,Ok For The Price
Lonehand Whiskey 1.75l,,MMMM! Whiskey
Lonehand Whiskey 1.75l,I have always been a sour mash whisky fan and this one is good!,Pretty Good!
Lonehand Whiskey 1.75l,"Wish I could say something better, but it's going down the drain.",Nothing But Tails.
Lonehand Whiskey 1.75l,I asked for a recommendation from a store employee for a Whiskey with good taste and not break the bank.,Great Taste
Lonehand Whiskey 1.75l,Pretty smooth when mixed.,Smooth And Gentle
Lonehand Whiskey 1.75l,"Attractive price, but nothing special.",So So
Lonehand Whiskey 1.75l,,Great Taste
Lonehand Whiskey 1.75l,,Great Budget Bourbon
Lonehand Whiskey 1.75l,I felt a little sour. Matched with soda and ice.,Sour
Lonehand Whiskey 1.75l,"During COVID, I have made a little game for myself trying different bourbons and whiskeys on the ""blue-collar shelf"" under $20. Some have been pleasant surprises and actually tasted better than more expensive bourbons. This one was an exception. It smells great on the nose. There is not much flavor on the palate and the finish resembled turpentine. It was rather disappointing. This appears to be a product of one of the mega-companies with no known source. This is NOT a Tennessee whiskey and is a disgrace to using the term. There are much cheaper bourbons on the shelf that are much better including Very Old Barton or even Old Fitzgerald. I would not purchase again.",Much Better Whiskeys To Try In Same Price Range
Lonehand Whiskey 1.75l,Very similar flavor profile as Jack; I like it equally to Jack and will continue to purchase Lonehand and save 25%,A Great Jack Knock-Off For A Discount
Lonehand Whiskey 1.75l,Sorry i bought it. will stick to Jack and Makers Mark,"Generally Bland. Not Flavorful Enough For Me,"
Lonehand Whiskey 1.75l,I like it better than JD,Great Taste
Lonehand Whiskey 1.75l,,2 Ratings-Only Reviews
Lonehand Whiskey 1.75l,,1 Review In Another Language
Lonehand Whiskey 1.75l,"I have bought several bottles of this whiskey, and every time thought how good it was. This time around was still good, but it has a cloudyness to the bottle and kind of reminds me of raw moonshine. So, my advise is, reminiscent of Jack but definitely inspect the bottle before you buy.","Good, Taste Familiar"
Lonehand Whiskey 1.75l,"Cloudy, muddy flavor. It's been better. I was surprised.",Not The Quality It'S Been Before.
Lonehand Whiskey 1.75l,This is the worst tasting whiskey that I have ever encountered. The stuff is actually cloudy.,Awful!
Lonehand Whiskey 1.75l,Their is a uniqueness to the taste that definitively says whiskey. For non-whiskey drinkers they will find this not to be harsh to drink.,A Great Bang For The Buck
Lonehand Whiskey 1.75l,"I bought this Bourbon for cooking and it was a great replacement for Jack Daniels, Bourbon glazed chicken and Bourbon Baked beans",Great Bourbon
Lonehand Whiskey 1.75l,been buying for a few months now,Mix Or Straight Works For Me
Lonehand Whiskey 1.75l,"This whiskey's taste seemed watery, lacking depth or complexity, and generally very underwhelming to me; not sure if it's the bottle I got, a problem with the batch, or something else. What made it worse was it had a artificial 'maple syrup' flavor present that, while faint, was still enough to be distracting even when mixed. Coupled together, these factors made it a grueling and unpleasant slog through the rest of the bottle (and we still ended up abandoning about 1/10 of it at the bottom anyway). Though I got it on sale in-store ($25) and on recommendation from a store representative, I just can't get past the taste. I would much rather buy Ezra Brooks, which is $10 cheaper and whose flavor is twice as good.","Weird Flavor, Poor Value"
Lonehand Whiskey 1.75l,"At first I was a little sceptical because of the very low price, but it actually had a good taste and smooth going down.",Great Tasting Whiskey
Lonehand Whiskey 1.75l,I have bought multiple bottles of this whiskey and my dad is now hooked too. It has a great taste and I actually prefer it over Jack Daniels,My Go To Whiskey
Lonehand Whiskey 1.75l,Special price got me to buy. Smokey oak flavor with a sweet or chocolate after taste. I drink it neat/,Every Day Sipping Whiskey
Lonehand Whiskey 1.75l,,Pretty Average
Lonehand Whiskey 1.75l,"I bought this just to try as a daily pour. When I got the bottle home it had a ton of distillates and floating sediment in the bottle. It had somehow gone bad. The store did give me a credit, but i dumped the whole bottle as it was undrinkable.",Not Good
Lonehand Whiskey 1.75l,I like to have bourbon straight so I notice a aftertaste. It would be fine mixed good price. You get what you pay for,Probably Good Mixed
Lonehand Whiskey 1.75l,"This had an odd taste straight from the bottle, and it got worse when mixed with Coke. I will stick with my Jack Daniels.",Odd Taste
Lonehand Whiskey 1.75l,This is a very good whiskey! It is smooth and has a barrelsie flavor.,Lone Hand Whiskey
Lonehand Whiskey 1.75l,great taste and cheap for the price,Great Taste!
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,Smooth with a vanilla note,Lonehand
Lonehand Whiskey 1.75l,,Barrel Aroma And Taste
Lonehand Whiskey 1.75l,I really enjoy it.,GREAT BODY AND FLAVOR
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,Horrible. Headaches. Why sell the stuff?This Sourmash give me a headache every time. Course and we drink it twice and that’s the second time I got this horrible headache I want to throw it away. I tried to let total Wine know about it but they never responded. I don’t even know why I trusted liquor store that sells this crud,Horrible. Headaches. Why Sell The Stuff?
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,"This whiskey is pretty good for the price point. It's fairly mellow and doesn't have a bite. It's also a good whiskey to have on hand for those guests that want to tap into your whiskey supply, only to dilute it with soda.",Good Whiskey For The Price
Lonehand Whiskey 1.75l,I bought this on the suggestion of an employee. It has very similar taste to Jack Daniel's. For the price point here a 1.75 was like 20 bucks. And for a party and mixed drinks it was good. Its for sure on party lists from now on.,Good Price And Good Taste
Lonehand Whiskey 1.75l,Great cheaper alternative to Jack,Great ! Knockoff Jack Daniels
Lonehand Whiskey 1.75l,"Close your eyes and compare to the most famous brand, I did and chose Lonehand!",Good As The Big Name Brand
Lonehand Whiskey 1.75l,Had it last night while watching world on fire Enjoyed the gentle taste and satisfying after glow.,Smooth And Comforting
Lonehand Whiskey 1.75l,Was looking for something to replace Jack Daniels. This is better.,Very Smooth
Lonehand Whiskey 1.75l,,2 Ratings-Only Reviews
Lonehand Whiskey 1.75l,,1 Review In Another Language
Lonehand Whiskey 1.75l,"Jack Daniels clone. I'm not that much into drink, but I usually order a ""jack and coke"". For making a ""jack and coke"" at home, I can't say that this is much different. I'm sure that there are people that drink it neat, and their opinions are probably more informed than mine. I had a brother-in-law that would have said, ""that'll drink just fine"".",Good Clone
Lonehand Whiskey 1.75l,,Great On The Rocks
Lonehand Whiskey 1.75l,I bought it thinking it was a Jack Daniels knock-off. I could really tell the difference between them.,Kinda Smooth
Lonehand Whiskey 1.75l,I bought this after reading the reviews and it is the worst whiskey I have ever tasted!!!,Horrible
Lonehand Whiskey 1.75l,I typically sip whiskey neat. This one is just not great for that. It might be ok in a cocktail,Not Great Neat
Lonehand Whiskey 1.75l,Literally the WORST whiskey I have ever tasted. Run far far away!!!!,Run Away
Lonehand Whiskey 1.75l,I added a Filthy brand black cherry to this and it was really good,Features
Lonehand Whiskey 1.75l,"I bought the Lonehand Whiskey because Ezra Brooks was out of stock, as it is almost everywhere. Don't know why, but I miss it.",Just An OK Sour Mash Whiskey.
Lonehand Whiskey 1.75l,"Thought to myself- this will be just like Jack Daniels, but six bucks cheaper. In this case, I got just what I paid for. Spend the extra six backs for the real.",Bootleg Jack
Lonehand Whiskey 1.75l,I tried this and it has a good taste.,Nice Taste
Lonehand Whiskey 1.75l,"Lonehand Whiskey is value priced. I am of the opinion that good whiskey should be sipped either neat or on the rocks. I use Lonehand for mixing with a cola or in Old Fashions. It seems to me that anytime you add sugar, there is no need to use more expensive bourbon. Lonehand fits the bill nicely for mixing - its inexpensive, has a decent flavor (although a little sweet for sipping), and it mixes well.",A Little Sweet
Lonehand Whiskey 1.75l,"All totaled, the whiskey is good, no gripes and even agree with some off putting comments by some. One thing you will notice if you ""really"" look at the label you will notice that is has only been aged ""A minimum of 12 months"". Wow, this is a year short of being a ""straight whiskey"" and three years from not having to list the age at all. No wonder it can be sold for less, time in the barrel costs money!",It'S Good And The Price Is Right
Lonehand Whiskey 1.75l,,Good Taste
Lonehand Whiskey 1.75l,,Great Taste
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,I bought a bottle back in May and I haven't stopped since.,I
Lonehand Whiskey 1.75l,Relaxing and soothing energy just as it is.,So Relaxing
Lonehand Whiskey 1.75l,"We bought this to stand in as a whiskey to mix with Coke, but didn’t like it that way. So we gave it a shot on its own and WOW! Did it shine! Don’t bother mixing it - it’s perfect on its own.",Smooth On Its Own
Lonehand Whiskey 1.75l,Another gut rot whiskey similar to Beam.,Cool Name
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,For the price this is very good whiskey. Good bite and finish. This is not 200 dollar whiskey but it is very good sub 100 dollars pretending to be 100+ whiskey. I WILL be buying it again!!!,Good Whiskey
Lonehand Whiskey 1.75l,"This was probably the cheapest whiskey I have ever purchased, but it tasted better than other low level brands. We used it in a cocktail mixer and it was great!",Good For Mixers
Lonehand Whiskey 1.75l,Drank Jack for years one of your people recommend Loanhand Smooth with lots of caramel,Expert Help
Lonehand Whiskey 1.75l,I bought a couple weeks ago and it is first time trying this brand. I am glad i did as I was pleasantly surprised .,Very Smooth
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,It did not taste like Bourbon to me. It had a touch of a Scotch taste. I'm not a Scotch Whiskey man.,Unexpected Taste
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,"Bought this expecting a better version of Jack Daniels, not even close my fault for going outside the lines.",Not So Much
Lonehand Whiskey 1.75l,"I have no idea why I bought this stuff, but I did. I had to pour Cabin Still along as I emptied the bottle. Should've just thrown the whole bottle out in the first place and not ruined my trusty Cabin Still.",Pure Junk
Lonehand Whiskey 1.75l,"This was my first purchase of Lonehand and, as everyone mentioned, it's a bit cheaper than Jack Daniels but I still prefer Jack.",Not Bad
Lonehand Whiskey 1.75l,,2 Ratings-Only Reviews
Lonehand Whiskey 1.75l,,1 Review In Another Language
Lonehand Whiskey 1.75l,"Smells and tastes like a smoky scotch but cheap. Go with evan williams black label for a very good cheaper alternative to jack daniels. You can taste the smoky flavor through coke if you mix it. I like scotch, but I was expecting something different. Evan williams is also cheaper than this and a bit higher proof. Theres other cheaper alternatives also, but i think evan williams is the closest to jack and goes well with coke.",Not Good
Lonehand Whiskey 1.75l,"I like the product fine, but I find the bottle extremely hard to open and get into. No perforated outer seal, have to use a knife and the top cap is so hard to start to open that I have had to use the back of knife to bang on it to try and loosen the cap. Very disappointing, will not buy again until they fix this problem. So ridiculous.!!!!!!!","Can'T Get Into The Bottle Easily, Need SUPER MAN.."
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,Nope! Not this year.,Not This Year.
Lonehand Whiskey 1.75l,"Good flavor, smooth, value for money",Longhand Is Worth It
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,Wonderful whiskey! Very smooth! Great find. Especially for the price!,Mmmmm Good!
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,"Surprised at all the negative reviews. I like this much better than Jack, which tastes like bananas to me. Lonehand is smooth and sweet, minimal burn. Drank w an ice cube. Definitely buying again.",Popcorn Buttery Smooth And Sweet W/ No Burn
Lonehand Whiskey 1.75l,"Bought this a little over a month ago and it was the most disgusting thing I ever willingly put into my mouth. I kept thinking, ""It'll grow on me."" Gave it a few more tries, but each time, just a confirmation of the same horrible taste. I poured it down the drain -- only regret is that I purchased it in the first place. Never again.",So Horrible - Had To Be A Bad Batch
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,"I read the tag at Total Wine and assumed that it was produced by Dickel, which makes some of my favorite whiskeys. No. This could not be made there and the bottle says it is bottled in Houston so I doubt it is even produced anywhere in TN. This might be a middle of the road whiskey with another three years of aging. But as it is, you would be better off to buy something else.",Do Not Try This.
Lonehand Whiskey 1.75l,Shoe leather. Go with Evan for around the same price. This was harsh. Had to drown in mixer and other booze. Very unpleasant. W,Bottom Of The Barrel
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,Not a good whiskey. You can taste the cheap in it. Wouldn't buy ever again.,Not Good.
Lonehand Whiskey 1.75l,"I drink bottom shelf bourbons like McKenna, Heaven Hill, Ancient Age etc. I'm not a whiskey snob but this stuff was so nasty I had to drink ginger ale to get that horrible taste out of my mouth. Try other cheap bourbons before you get this.",Horrible Swill
Lonehand Whiskey 1.75l,Kind of an odd tasting Bourbon. Wont buy it again.,Mediocre.
Lonehand Whiskey 1.75l,"I had hoped this would be another good Tennessee sour mash whiskey, but it is only aged “at least one year “ and is bottled in Houston. I almost returned it for a refund because it was so disappointing.",Not Well Aged And Not Bottled In Tennessee
Lonehand Whiskey 1.75l,I like how it mixes well with my Diet Coke and ginger ale.,Love Whiskey
Lonehand Whiskey 1.75l,"Honesty awful. Completely lacking any depth, astringent without having any aftertaste.",Please Try Another
Lonehand Whiskey 1.75l,"Skunky, sour taste and smell. Even mixing with Coke can't hide the cheapness of this whiskey.",The Price Makes Sense.
Lonehand Whiskey 1.75l,"I like Jack, I like Larceny. Thought I would give this a try and save a few bucks. I s GJ old have spent the extra $10 on the good stuff.",A Little Spendy For Generic Flavor
Lonehand Whiskey 1.75l,I love the Lonehand Sour Mash Whiskey,Lonehand Sour Mash Whiskey
Lonehand Whiskey 1.75l,"This is an especially smooth whiskey. It has become my go to brand. I’m sure that you could find better, but you’ll never find better in this price range. I highly recommend this whiskey on the rocks.",Best Whiskey For The Price
Lonehand Whiskey 1.75l,Just as good and we use it for Kentucky mules,Comperable To Jack Black
Lonehand Whiskey 1.75l,I got drunk!!!!,Nice!
Lonehand Whiskey 1.75l,"I've been trying to find a Whiskey that tastes good, neat or on the rocks. Is not complex and requires no thought process to decide if you like it. For me, this is it! You want to relax and have a whiskey or two, give it a try. You're going to like it!","Really, Give It A Try"
Lonehand Whiskey 1.75l,This is one of the best whiskeys I've had! Very smooth. Excellent taste.,Lonehand Whiskey
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,I bought this today as an inexpensive Bourbon or Tennessee whiskey replacement for my typical pricey bourbon. It tastes good. Some sweetness no burn. Great mixed with cola. For less than $15 this Lonehand won't be alone too much longer! Cattle Baron's Moove over and drink this very good whiskey,Best Recommended Whiskey So Far.
Lonehand Whiskey 1.75l,,2 Ratings-Only Reviews
Lonehand Whiskey 1.75l,,1 Review In Another Language
Lonehand Whiskey 1.75l,,Smooth
Lonehand Whiskey 1.75l,I bought this for my husband to try (and for my own cooking purposes) because the store was out of the regular J.D. and man am I glad I found this!!! Absolutely delicious with great flavors and fantastic lingering notes!!! Better than JD and at a better price!!!,Great Taste!
Lonehand Whiskey 1.75l,,Western Name
Lonehand Whiskey 1.75l,"My first taste of Lonehand impressed me, it was smooth and smokey, delicious to sip on its own. I have since made several cocktails (old fashions, boulevadiers, New York flips,and more) with it and it never fails. Now I purchase a bottle everyone I come in.","Smooth And Slightly Smokey, Excellent."
Lonehand Whiskey 1.75l,"This is a great. Whiskey, very smooth and paletable.",Smooth
Lonehand Whiskey 1.75l,Excellent whiskey for the price,Great Sour Mash Value
Lonehand Whiskey 1.75l,A bit harsh and not a good flavour. There are better choices for a Tennessee whisky.,Not Tennessee'S Finest
Lonehand Whiskey 1.75l,I brought this on a recommendation by the total wines sales person. They were very knowledgeable and it is hard to know what people to people will like. Lonehand Whiskey was OK smoother that Jack Daniels black be not favorable. I didn't think it was more than average,Disappointing
Lonehand Whiskey 1.75l,Can be sipped or mixed. Pleasant taste. A little harsh on the back end but doesn’t burn too bad.,Taste Good
Lonehand Whiskey 1.75l,"This whiskey is good for mixing. I have come down from Woodford Reserve to this much cheaper brand to save my pocket book, but I think the whiskey is very good.",Very Good Value
Lonehand Whiskey 1.75l,Excellent value! Recommended by Staff. As good as or better than crown royal or jack Daniels with a better price point!,Great Bang For The Buck
Lonehand Whiskey 1.75l,I was a bit pleased to see that this one is a nice drink. Great aroma hints of caramel and vanilla with a tad bit of smoke. Filtered through sugar maple charcoal it comes off with just a wee bit of sweetness upfront. Let it linger on the tongue and you'll get the warmth and spice of cinnamon. Tickles the tongue and lips and has a nice even warmth finish. A smooth drink with not a lot of heat or bitterness. It's not up there in my top ten but is is a good drink that I would not refuse if offered. Some people like it and some hate it but that's what it's all about...differences in preference and tastes.,It'S A Good Drink But Not Stellar.
Lonehand Whiskey 1.75l,,"Good Taste, Good Price."
Lonehand Whiskey 1.75l,,Smooth
Lonehand Whiskey 1.75l,,Very Good Whiskey At A Reasonable Price
Lonehand Whiskey 1.75l,"This is a great whiskey for making an Old Fashioned or a Sinatra Smash. There are better bourbons if you want to enjoy with a good cigar, but I never use those to mix.",Good Every Day Wiskey
Lonehand Whiskey 1.75l,Very distinct and smoky taste! I absolutely love it!,Gray Whiskey With A Smoky Taste!
Lonehand Whiskey 1.75l,"nice to drink by itself, but also excellent as a mixer. smooth mellow taste, this could be my new favorite.",Good For Sipping Or Mixing
Lonehand Whiskey 1.75l,"So my cheap self decided to buy this thinking it was comparable to Jack. Hmmmm nope. This is the first time I've bought an alternative. It is definitely the last time. The rest of the bottle I poured out. My man-friend liked me drinking it, said I was nicer. Hahahaha",Nowhere Near Old #7
Lonehand Whiskey 1.75l,Bought thinking it would be like Jim bean. Not a smart buy. Do not like it,Lonehand Whiskey
Lonehand Whiskey 1.75l,"I found this 1.75 size for$29.99 and it well worth it. I like to mix with coke and tastes great, I am not with all those aromas, I just know it does the job no after taste and I enjoyed every ball glass with a lot of ice. Just give it a shot, you can't lose for the price and a 1.75 for$29.99.",Taste Like JD
Lonehand Whiskey 1.75l,"My wife bought this & was told that is was very similar to O’#7. Not sure is the clerk at that store new what he was talking about. I’ve had several people sample it & they agree with me, it’s not similar, only the shape of the bottle.",Not What I Was Told To Expect.
Lonehand Whiskey 1.75l,Like jacks lil cousin. Almost as smooth same great taste,Solid Sour Mash
Lonehand Whiskey 1.75l,I have been drinking this for almost two years and I am very happy with it.,Great
Lonehand Whiskey 1.75l,"One of your sales associates turned my on to this a couple of months ago and it's now my cost effective go to. For the cost, the taste is great. Good sipping whiskey. Highly recommend.",Lonehand Whiskey
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,great tasting whiskey,Arsenault Fanny Pack
Lonehand Whiskey 1.75l,"Bought for my husband, thinking he would like to try some new brands and he DID NOT like Lonehand...like he threw out the drink he didn't like it so much. ""It tastes like the free liquor in Punta Cana."" Likes Crown, Jack, Jim, Evan...but will not be buying this one again.",Hubby Is NOT A Fan
Lonehand Whiskey 1.75l,The worst whiskey I’ve ever tasted. So bad can’t even use as a mixer. Total waste of money and so bad I wouldn’t even give it away.,Awful!!!
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,,2 Ratings-Only Reviews
Lonehand Whiskey 1.75l,,1 Review In Another Language
Lonehand Whiskey 1.75l,Got this sour mash to make Manhattans and it is really good,Good Mixer
Lonehand Whiskey 1.75l,"Possibly the worst whiskey I've ever tasted. Chemical smell, so strong I almost tossed it before tasting. Should have! Some sales man said it was like Jack Daniels,not on this planet. Maybe good to loosen rusted bolts. Threw the junk away ( yes I called the Haz-Mat crew). There are lots of good sipping whiskies out there, this is NOT one of them",Total Garbage
Lonehand Whiskey 1.75l,"Pretty sad about this...not that it is bad per se, but it has much of the taste of a Tequila. Which I guess is nice, but not even close to what I am looking for in a whiskey. I bought it...I'll drink it, but I'll never buy it again and I am kinda sad at the taste descriptions of it.",Nooope.
Lonehand Whiskey 1.75l,Great whiskey,Great Whiskey
Lonehand Whiskey 1.75l,Taste Horrible. Ended up pouring it out,No Jack Daniel’S
Lonehand Whiskey 1.75l,"Another suggestion from the knowledgeable store staff They mentioned that it was most likely bottled by Dickel... I thought for the price, the quality was good",Lonehand Whiskey
Lonehand Whiskey 1.75l,"This was the worst stuff I've ever had. Just the smell when opening the bottle was enough to make you want to pour it out, which I ended up doing.",Horrible
Lonehand Whiskey 1.75l,"This is an inviting light bourbon that is very smooth. More like a Basil Hayden in style. Great nose, and great value for under $15.",Longhand A Great Light Bourbon Value
Lonehand Whiskey 1.75l,,
Lonehand Whiskey 1.75l,"Has a flavor profile similar to Jack Daniels, a bit more on the vanilla side. This is great with a little splash of Vernor's Ginger Ale. The most appealing thing is its way more than just palatable and way more affordable than some bourbons with similar flavors.",Better Than Good Enough
Lonehand Whiskey 1.75l,"I normally drink bourbons but this was a staff pick and one of the staff was telling me about how it’s better than jack Daniels. Do I thought I’d try a Tennessee style whisky. Two things I should’ve noticed before I bought. First, age statement is “at least one year”. Second it’s only 80 proof. Nose is strong yeast. Taste was yeasty and thin. The filtering through the maple charcoal did little for smoothing or enhancing the flavor. I’ll see if they let a 2 star review through.",Not For Me
Lonehand Whiskey 1.75l,Bought Lonehand as a lower cost alternative to my regular bourbon. Served that purpose.,"Good Price, Decent Taste"
Lonehand Whiskey 1.75l,"A great sipping whiskey neat, on ice or with a mix. I have been quite pleased.",A Very Tennessee Sour Mash Whiskey
Lonehand Whiskey 1.75l,"I asked my favorite store clerk for a whiskey for mixed drinks, so immediately pointed to Lonehand sour mash whiskey. It was great with favored seltzer water as a refreshing summer drink. I am on my second bottle since June 14, 2020! Cheers!",Great As A Mixer!
